producto,precio_numerico,reputacion_limpia,disponible_bool,envio_gratis_bool,puntaje_valor,categoria,vendedor_limpio
"Smartphone Motorola Moto G04s Coral de 128 GB, 4 GB+4 GB Ram Boost Cam, 50 MP, pantalla Gorilla Glass 6.6",178980.0,Sin información de reputación,True,True,4.61,smartphone,Vendedor no especificado
"Tcl 501 Pantalla Grande De 6,0 64 Gb Liberado Glacial Blue",199999.0,Sin información de reputación,True,True,4.5,smartphone,Por ProntoTec
Smartphone Xiaomi Poco C75/256g negro de 8 GB de RAM/NFC,210889.0,Sin información de reputación,True,True,4.45,smartphone,Vendedor no especificado
Celular Zte Blade A54 128gb 4gb Ram Gris,229999.0,Sin información de reputación,True,True,4.35,smartphone,Por Mercado Libre
Teléfono Celular Tcl 408 (4+64) Midnight Blue Rva,244999.0,Sin información de reputación,True,True,4.28,smartphone,Vendedor no especificado
Smartphone Moto G35 5g 128 GB Grafito,259999.0,Sin información de reputación,True,True,4.2,smartphone,Vendedor no especificado
Mini Refrigerador Digital  8 L  220v/12v Black,259900.0,Sin información de reputación,True,True,4.2,heladera,Vendedor no especificado
Smartphone Moto G35 5g 256 Gb 8ram Negro,269783.0,Sin información de reputación,True,True,4.15,smartphone,Vendedor no especificado
Samsung Galaxy A06 128gb 4gb Black,274999.0,Sin información de reputación,True,True,4.13,smartphone,Por Samsung
Celular Samsung Galaxy A16 6+128gb Negro,276188.0,Sin información de reputación,True,True,4.12,smartphone,Vendedor no especificado
Smart Tv Led Android Tv 32 Rca R32andf Hd Bluetooth Wifi Cts,279999.0,Sin información de reputación,True,True,4.1,televisor,Por Mercado Libre
Smart Tv Led Android Tv 32 Rca R32andf Hd Bluetooth Wifi Cts,279999.0,Sin información de reputación,True,True,4.1,televisor,Por Mercado Libre
Tv Led Smart 32p Led Pld32hs24a Philco,299990.0,Sin información de reputación,True,True,4.0,televisor,Vendedor no especificado
Smartphone Celular Motorola G54 Power Edition 8gb Ram + 256gb Almacenamiento Color Midnight Blue,299999.0,Sin información de reputación,True,True,4.0,smartphone,Vendedor no especificado
