vendedor_limpio,reputacion_limpia,cantidad_productos,precio_promedio,productos_disponibles,productos_envio_gratis
Vendedor no especificado,Sin información de reputación,31,576669.9,31,29
Por Megatone,Sin información de reputación,7,1043570.43,7,6
Por Mercado Libre,Sin información de reputación,7,694837.29,7,7
Por PC CENTER COMPUTERS,Sin información de reputación,3,1060929.67,3,3
Por Samsung,Sin información de reputación,3,876332.33,3,3
Por PCREGISTRADA,Sin información de reputación,3,686999.0,3,3
Por ProntoTec,Sin información de reputación,2,629999.0,2,2
Por EXO,Sin información de reputación,2,501922.0,2,2
Por ESPACIO ELECTRONICA,Sin información de reputación,2,1328249.0,2,2
Por azkar,Sin información de reputación,2,1029959.0,2,0
Por Siam,Sin información de reputación,2,554999.0,2,0
Por Toshiba,Sin información de reputación,2,681999.0,2,2
Por PETENATTI HOGAR,Sin información de reputación,2,521284.0,2,1
Por Casa del audio,Sin información de reputación,1,675602.0,1,0
Por Castillo,Sin información de reputación,1,628999.0,1,1
Por Atajo,Sin información de reputación,1,1499999.0,1,1
Por DEL SUR HOGAR,Sin información de reputación,1,1227407.0,1,1
Por MERCADO LIBRE ELECTRO,Sin información de reputación,1,964199.0,1,1
Por Hyundai Electronics,Sin información de reputación,1,775386.0,1,1
Por Htvs,Sin información de reputación,1,452165.0,1,1
Por NOVOGAR,Sin información de reputación,1,1135499.0,1,0
Por Philco,Sin información de reputación,1,1699999.0,1,1
Por Radio Sapienza,Sin información de reputación,1,536999.0,1,0
Por TIO MUSA,Sin información de reputación,1,1624999.0,1,0
Por Tienda Newsan,Sin información de reputación,1,409999.0,1,0
