indice,fecha_extraccion,titulo_puesto,empresa,ubicacion,url_empleo,modalidad,fecha_publicacion,descripcion_breve,nivel_experiencia,beneficios_ofrecidos
1,2025-06-07,Machine Learning Engineer,Bull Market,Buenos Aires y alrededores (Híbrido),https://www.linkedin.com/jobs/view/4242465201/?eBP=CwEAAAGXSDZLZTOPipzbGTKcZ2Hv6nP-tAfKiTetElfZR52TJNe9OOLCprA9VC9dRnAlwuEzxFoyLGZdNRdFDkVZykNX-mH6dupjFCpNiMSkqZ7ukDJKJmo_D9nR0P6UfCroNtb9PzEykEGkM0OfKQwGrk537kTKzoxhC4gJMX7VzU5_byb5IHDJpUkKZCJexNvxBm4biaZ1fvMQ8gqGdTxmxxVqrIPzOqAdALQ7dK7DAR7qRsxz6JVeOWelV5tY3G8htyruF3ORKyxJ6a7aiB0Y_YgoacMAIUabxoWetiW1g4mcgyO6F_wl_8LkFgchs5gX13TKRF3TVGGiaE1b6HesdbSbKJKjZS4AOUUrBtAX1looqXK2FZi0vNfoVAFOg_C7Y4AcSh2GXXhM4I21tJUfQaVq6fn3gCF48Gyf8hQ56GYCwCU2Jogas9lLQh-jwQj1tb8G-6h8JRntMPjC0U6D5kod5v4non0CYvNFJfDM3vu75UnRZuAVHwFIDvsvIywMMJh_l0Wt8-AmTA6YMD4an3oWAMWgE9VfvQ&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=3J9LbombMbpoQJMCEGlfyQ%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"🔍 ¡Estamos sumando un/a Machine Learning Engineer al equipo de desarrollo de Bull Market Brokers!     Buscamos una persona apasionada por la inteligencia artificial, con sólida experiencia en solucion...",No disponible,No disponible
2,2025-06-07,Data Engineer,Cove Brands,Argentina (En remoto),https://www.linkedin.com/jobs/view/4244979497/?eBP=CwEAAAGXSDZLZakWyFSiF51Z3ka_sc5LB0CwkzB6qs6bIoZg827KXhMwnLWGtPe0vcA9X4lCffsgJf-TI0TTq7YwNIODeSCgmClDBOKILJHHHq5GXOijqWdxkcc2pf88q2qj6HP7PBag9T_FwE5oI_SQrVQRBzPClWBGQleAHNcbezsgSE29gtAZLGwnru3Gmyq113PG5S0P2cXCPiEZS2YQPW8WIW-ClHjMqpbrozB-bjfLMiHhmWRcbaIT2WZi50gde_Zxh13AZykpnr2Ph_tsujSKZmgSOeRkfOig-KYEShIdTzTpWjgL-R9Ocebc3qeTXVXUIsIiAT16eXROlp2sQ-5kIbMUVI9N5aVWzeJqEmVr-AhTSS-B0YrFpImJdxVLZXielmEfcmbrwpMkq_IROBspaRaq1twAQYsw3D14PBR85z9Q90X3UoZWzEYf4Q4mT9xo_N0FAKLiwOxNebHIKIi3ImqvyA&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=lOZBVH5wLVOfhdSo5RUSLw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,Role Overview  We are looking for a versatile and motivated Data Engineer with a passion for AI-driven innovation to lay the groundwork for our company-wide data infrastructure. This is a foundational...,No disponible,No disponible
3,2025-06-07,Python Developer SSR,SHIFTA,Argentina (En remoto),https://www.linkedin.com/jobs/view/4240469682/?eBP=CwEAAAGXSDZLZe-Ibv4ui6CR7UBejYP4xAW4Kz9pNdFbXAFikQ_fdHDUM9hgtr8RrSY0XH7zbOOpQ78mL44IVcB04NUjnX6ffCEqzgpalL7mQFzKxa1tokWaXjX4tc_g0w3MT2IGMINVik_0I97ta7HDO6qdrCwvxEW8Cb9AwSpgDuInZKRirpd8_aMsNvFblwfrT_tRxaDTIeIpNiVULkkUVABe_txX2ahzZs9CfyFcb9N6NDQ4xWo5vNWI85MobGZht1BbYdGbed2ExuAS1Y6kcdxG-8dT0U_vzz8BdiWItkAwtLScK-xKenhwDsdKJ0DSMxfufb5UuXpQaDYrKV08SMpmrAeNxkleZcFNn3j-iPQAgcVaQIKJKR6ZYiHBzAx0ajp-Zv_ed0o6LZtUfc_cTqOEf-sE4JQ7VrYBICnRTsEPhDazOKz6j3JswlpecQkj5IDv2OMT1pw7rtGE8h__coH_WKri_IId9avUdSeYCxk_GArBNWR8U2YM-XCg1HmEzZP7qNCJUs4&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=5q4%2FjnZWgTTfY5OnNFFptA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Python Developer SSR     We are Shifta!  Somos un Digital Product Studio con el objetivo de innovar, evolucionar y resolver necesidades tecnológicas de negocio. Nuestra Tribu está conformada por +65 S...",No disponible,No disponible
4,2025-06-07,Desarrollador Backend,Worldsys,Buenos Aires y alrededores (En remoto),https://www.linkedin.com/jobs/view/4241273275/?eBP=CwEAAAGXSDZLZRr-HBpR8LthqqTNU6xW6eWRyWKMysRgsHT9ijFXmbTlZrGWovtXp79ekSS27flXXp4euMGMztr4Kgk8ds1BDZ8Vnnl_PPhkbyB2H1pPfRpRd2szHDTWqTfaTg2x1APHQiIcK6HHK_DlBP_Nm1daUQbfIr2aoJo9926zZ8ONALa2vNch6i5ntqM0n2hCNiGoD-6ReDXYcDmb1zQbXiPWmx83p0HTMcac-dm24zPrzkfNINLK1qxfclFDYOyeXtVhlQs4HSDz-He1VIQLI3dX0PGlvM_riECedw2JEmbbA0CXujU2og63NlDyS-wtMotm_K80g48Q4LZqqYJZZ-MZAiDbKUrWXF79N2JPSXa3ntM2CregDuD1F_vtYBy_JwWBQQbbyfKMCj6d9zD6K8QFm3VwFeMEPgsXo8fsPlCUnKCi0RFbDZeEut_dqRP7nsMWRcbkkYcW01c&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=QnqFQGbj5GLdbBO%2FUutPiA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"😀 Sumate al #EquipoWorldsys.  Estamos en búsqueda de un Desarrollador Backend Senior con sólidos conocimientos en Node.js, capaz de diseñar soluciones backend performantes, con bajo consumo de memoria...",No disponible,No disponible
5,2025-06-07,Desarrollador Python,Scanntech Uruguay,América Latina (En remoto),https://www.linkedin.com/jobs/view/4244586788/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=P1SfT0saDg%2FeGcdJJy79eg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-04,No disponible,No disponible,No disponible
6,2025-06-07,Python Developer,Mercor,América Latina (En remoto),https://www.linkedin.com/jobs/view/4244509165/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=1tqWk60lcF%2FfbpWl5OtmiQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-04,We are hiring software engineers to assist a leading AI research lab with environment setup and dependency management for open-source Python projects. Your work will focus on configuring development e...,No disponible,No disponible
7,2025-06-07,Analytics Engineer,adly,Argentina (En remoto),https://www.linkedin.com/jobs/view/4245984727/?eBP=CwEAAAGXSDZLZegJ-9cW4oqJy00QDpPTM1vAzg3m6zCCpeNc7jIuXhy3rExqYbtzhJualBKhcxnOQgOAigluOje19gLzpHoBh6K_Sam7WAfpkNNpKAUTX28_1lvQD8Rl1ZPXR7YFEi33DeF-3YKLEny2dAdEpjaO4UlNn1cARiSs12EkJAqhw7iK85Y4wJhOOPr-6Z3T9mp8zWI4yUMBwcQuIQqImIRDaSGgyi4pQN-l8BsBMM3igBXAPEfazVGe8cs_74SALuHvyuZVbrEX_HCh0AsXRz-Ry_v6IQ-ct6WaNuJbFxtzW13QkZaFPeF_zHZjDSfXfL9T8GDD8t08ZDsHLu7mB1FUicMd22-axy2CKHEGOfWsq7pymnO7wqlVn5CPmZYHYEO4jt_-ecjcooUM_3TYQVt7j122yWZfxuiiQiABGBImOFh-T_YhdEkxfUieaZEDGBXx-Fc4bK7ImsXdCYqKYjfk_V6q8QuHZEHU-SuoTnnxt4y9wdIuTZvu9s-hazxABA&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=Eb5pCXNuJG0oM34TeCRyZA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Adly is a technology, data, and performance driven portfolio of SaaS subscription and content companies. Our founders have built, acquired, scaled, and sold several SaaS and content businesses, and ha...",No disponible,No disponible
8,2025-06-07,AI Engineer,Launchpad Technologies Inc.,Argentina (En remoto),https://www.linkedin.com/jobs/view/4234755071/?eBP=CwEAAAGXSDZLZSU42AseSa7rvuX4n_DW1Bsov3XGt2t60RdFCiOfxKuouG3yOyjg3le5qZJF6xEGGc-yoHfxVA9GmznUxdntoI-TSWSb9TbNNvSj9eEhiYICQ59zrFvZH2ic8UqKFroSPvYrMVGM78Wc3MbT3zg_hY03x14lcqLjCzKkIurb5fTNPsnrqvnPXDLH5le0ZZ8NN5JQ9yvz6Hx-6E0Ubk4z9CbXKsvarb-GDCxakt9IdR2eNshdf_vHl4Elc2_0BxjJmpR0_3Y3vdaF5sSRGI2xblAwEd8ywh0iWIHmihCW4w8jb6InIaBT2O1Kf2w0HQyN-sod1NhC1182OGXeOUK-Lgkss6NAI7_27faiSNOLYzRh_f2Zedno4gx4_F1PmPJMXHpiOsViBQl_2o0TWCRhgSBPqmTWYUAIJirP5cHGVzc8VVI9aIBHHBW8HthJyyHc3tMZ_ZmDRnNA4W5vcCuML1GryTCkHf1Rbm0p11fhc_uVGmmUcDnZgCqrGwKbpQ&refId=O9vWwQ0h6tGZHdCsnUpXaQ%3D%3D&trackingId=XvEgTHW6yV094MxERAIgow%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,🤖 AI Engineer – Agent-Oriented LLM Workflows  We’re redefining how small and medium businesses access world-class marketing through intelligent automation. We're looking for a Senior AI Engineer to he...,No disponible,No disponible
1,2025-06-07,RevOps Analyst,RevBlack,"Buenos Aires, Provincia de Buenos Aires, Argentina (Híbrido)",https://www.linkedin.com/jobs/view/4242459776/?eBP=CwEAAAGXSDc9k4ZtIbbIiSsCwepZ8CiJIyB6VR8TLtE4L7aGdoKTXCRsZHp9Kgi8No7tuKvGv3mC--zHQyKKAj7dr6baOpZdMeP8b6BTXbKb5llcd850ZAQrDqzEdIt3R6sLx02ldzPDe4jJ2MZhl6YRiiraKuFBVLJterlD6lB4pP2SDRD9OOU9c5x1Sm4630Dzsn4bXlGQAsP7qifJEAqF4UJGKN-J3AMGmt901c1LlR0z-tPc0zdwkAyu6-Fz4mNxyuMUsXWfZcnn6MZ4cnbK_2U9-AB6oGdEs8mWA4pawH2FNWKwHzjIXBX_lIUixJTnDkWPdoiut_YKAXKFNfnzkyB2QpdEuPLyHgJ3cha3k4Iqiu60aGzUsFFqCcddeL25DyTd428R9NAyhc0S9CeH58evsmjvmqu-hnZrSyFy4H9U68Ps5U611sXp3SbdEvlkNYo1PujfKDZH9PRRbqiFAzcRhXyFrROEzLW1JZ0Ky9kXvo-J_RBocfGPS3tz&refId=H5xbive1kCml7Ns6sphdVA%3D%3D&trackingId=qjRPZyoO68I9MwnIr0%2Bbfg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"Job Title: RevOps Analyst  Location: Hybrid (3 days in-office – Villa Crespo, 2 days remote)  Employment Type: Full-Time   About RevBlack  RevBlack is a U.S.-based consultancy that transforms CRM syst...",No disponible,No disponible
2,2025-06-07,Data Scientist,Despegar,"Buenos Aires, Provincia de Buenos Aires, Argentina (Híbrido)",https://www.linkedin.com/jobs/view/4237956213/?eBP=CwEAAAGXSDc9k8aXsE4rCRp-hpBMNMjHTXgrMLcd7VZWBBBc3TZyYh8u6iLTh_qXHS7JJjiCN4AX1Wsbx_SNTKLILyRdHq-ppbVMgStQfHCxY-5GyLLRdx1nNJcqQA69B-8fr6_JJdL5xyvZ3NOniUlz5lOwgGDgOObl2acS7FwuP_CxX-NWrS9MFY1DuNgHO7SQjIa5awaRu5g2BtMyiT7Ovq0XDoSKfgUTiNboJNsrL19Q13QThzUNrkbQu2QmslYnnuOmpTC9vLSIvTr0WCJFuFWifv2bDMbXKLN2CTJ269AuL_b6UQc-8PmDNwnTntxONtCP77bML-yY5dG2vph8eehsSA5HEI_BtS856LFCnnDMd08HUNCpg0Y2l2sRn9DOq0cZSTy-1Hvi87BswHXGRUFhyD1GujkilyGqPsq-H6JTAzoDQvLKnOkOy72BM2INRyCgZMrjTr65mdmsIrCLZA1cGPT791JCaPJGUO4-5aNEDiDrOnWBCidqg95zZmloAIIdY1v1&refId=H5xbive1kCml7Ns6sphdVA%3D%3D&trackingId=ZbDdDj8GCNl2XZS6oKowUA%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,"En el #EquipoDespegar somos un grupo de grandes profesionales dedicados a crear las mejores experiencias para que los viajes enriquezcan la vida de las personas. Trabajamos en equipo, nos involucramos...",No disponible,No disponible
