producto,precio_numerico,reputacion_limpia,disponible_bool,envio_gratis_bool,puntaje_valor,categoria,vendedor_limpio
Celular Zte Blade A54 128gb 4gb Ram Gris,229999.0,Sin información de reputación,True,True,4.35,smartphone,Por Mercado Libre
Smartphone Redmi 14c 128gb 4 Ram lanzado en 2024 + Teléfono azul estrellado,229999.0,Sin información de reputación,True,True,4.35,smartphone,Vendedor no especificado
Samsung Galaxy A16 128 Gb 4Gb Ram Negro,248277.0,Sin información de reputación,True,True,4.26,smartphone,Vendedor no especificado
Smartphone Moto G35 5g 128 GB Grafito,259999.0,Sin información de reputación,True,True,4.2,smartphone,Vendedor no especificado
Smart Tv Led Android Tv 32 Rca R32andf Hd Bluetooth Wifi Cts,276999.0,Sin información de reputación,True,True,4.12,televisor,Vendedor no especificado
Samsung Galaxy A06 128gb 4gb Black,275000.0,Sin información de reputación,True,True,4.12,smartphone,Vendedor no especificado
Smart Tv Led Android Tv 32 Rca R32andf Hd Bluetooth Wifi Cts,276999.0,Sin información de reputación,True,True,4.12,televisor,Vendedor no especificado
Smartphone Moto G35 5g 256 Gb 8ram Negro,287838.0,Sin información de reputación,True,True,4.06,smartphone,Vendedor no especificado
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,503999.0,Sin información de reputación,True,True,3.99,notebook,Por Noblex
Smartphone Tcl 50 5g T613p 6.56 Hd+ 256gb Space Gray 6gb Ram,316078.0,Sin información de reputación,True,True,3.92,smartphone,Vendedor no especificado
Notebook Acer Aspire 3 Core I3 N305 8gb Ssd 128gb 14 Us Win11,549999.0,Sin información de reputación,True,True,3.9,notebook,Por PCREGISTRADA
Smart Tv Sansei Tds2443fivh 43 Pulgadas Led Full Hd,549999.0,Sin información de reputación,True,True,3.9,televisor,Por Tienda Newsan
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,553845.0,Sin información de reputación,True,True,3.89,notebook,Por EXO
Smart Tv Philco 40 Pulgadas Led Hd Vidaa Pld40hs24,563999.0,Sin información de reputación,True,True,3.87,televisor,Vendedor no especificado
Smart Tv 43 Full HD Titan Os HDR10 Dolby Audio Philips,571618.0,Sin información de reputación,True,True,3.86,televisor,Por Mercado Libre
Smartphone Xiaomi Poco M6 Pro 12+512 Gb azul,591999.0,Sin información de reputación,True,True,3.82,smartphone,Vendedor no especificado
Celular Smartphone Camon 30 16gb Ram Android 14 Blanco,340000.0,Sin información de reputación,True,True,3.8,smartphone,Vendedor no especificado
Notebook Intel Core I5-1035g4 16gb Ram 512ssd 15 PuLG Oasis,599999.0,Sin información de reputación,True,True,3.8,notebook,Por Oasis
Smart Tv Kodak Led 32 Hd Google Tv Kd-32mt005-2 Hdmi Usb,339999.0,Sin información de reputación,True,True,3.8,televisor,Vendedor no especificado
"Smart Tv 32  Futura Home, Full Hd",340000.0,Sin información de reputación,True,True,3.8,televisor,Vendedor no especificado
"Smartphone Motorola Moto G55 5g, 256 GB, 16 GB de RAM Boost y cámara de 50 MP con pantalla Ai NFC 6.5 con superbrillo, verde",339999.0,Sin información de reputación,True,True,3.8,smartphone,Vendedor no especificado
Motorola Moto G85 5g 256Gb + 8GB Ram Urban Grey,611999.0,Sin información de reputación,True,True,3.78,smartphone,Vendedor no especificado
"Notebook Aspire Go Intel i3 N305, DDR5 8Gb Ram, 128Gb SSD, Pantalla 15.6"" Full HD, Windows 11 (AG15-31P-3947)",611571.0,Sin información de reputación,True,True,3.78,notebook,Vendedor no especificado
