vendedor_limpio,reputacion_limpia,cantidad_productos,precio_promedio,productos_disponibles,productos_envio_gratis
Vendedor no especificado,Sin información de reputación,40,793750.88,40,38
Por Mercado Libre,Sin información de reputación,6,518639.5,6,6
Por Tienda Newsan,Sin información de reputación,4,452499.0,4,2
Por Casa del audio,Sin información de reputación,3,562934.0,3,0
Por EXO,Sin información de reputación,3,628986.67,3,3
Por Atajo,Sin información de reputación,3,2466665.67,3,2
Por Midea Argentina,Sin información de reputación,2,1850499.0,2,2
Por Siam,Sin información de reputación,2,393499.0,2,0
Por PC CENTER COMPUTERS,Sin información de reputación,2,1392049.0,2,2
Por PCREGISTRADA,Sin información de reputación,2,585499.0,2,2
Por PETENATTI HOGAR,Sin información de reputación,1,1274549.0,1,0
Por azkar,Sin información de reputación,1,583387.0,1,0
Por Toshiba,Sin información de reputación,1,499999.0,1,1
Por TIO MUSA,Sin información de reputación,1,1236509.0,1,0
Por Philco,Sin información de reputación,1,1699999.0,1,1
Por Aguirrezabala Hogar,Sin información de reputación,1,1549999.0,1,1
Por Oasis,Sin información de reputación,1,599999.0,1,1
Por NOVOGAR,Sin información de reputación,1,838999.0,1,0
Por Hyundai Electronics,Sin información de reputación,1,775386.0,1,1
Por HEMINGWAY,Sin información de reputación,1,749999.0,1,0
Por DEL SUR HOGAR,Sin información de reputación,1,1227407.0,1,1
Por CORDONAT,Sin información de reputación,1,1864999.0,1,0
Por Noblex,Sin información de reputación,1,503999.0,1,1
